Country,State,District,Year,"Climate Vulnerability Index (UOM:Ratio), Scaling Factor:1","Marginal And Small Landholding (%) (UOM:%(Percentage)), Scaling Factor:1","Area Covered Under Crop Insurance (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of The Area Under Rainfed Agriculture (UOM:Ratio), Scaling Factor:1","Total Area Of Forest Per 100 Rural Population (UOM:Ratio), Scaling Factor:1","Women Participation In The Workforce (%) (UOM:%(Percentage)), Scaling Factor:1","Average Days Of Employment Provided Per Household Under Mgnrega In A Year (%) (UOM:%(Percentage)), Scaling Factor:1","Road Density (UOM:Ratio), Scaling Factor:1","Functional Health Centres Per Thousand Population (UOM:Number), Scaling Factor:1","Infant Mortality Rate(Imr) (UOM:Ratio), Scaling Factor:1","Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Households With The Improved Drinking Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Yield Variability Of Food Grains (UOM:Ratio), Scaling Factor:1","Per Capita Income (UOM:INR(IndianRupees)), Scaling Factor:1","Livestock Per Population (%) (UOM:%(Percentage)), Scaling Factor:1","Area Under Forest Cover (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Output Of Total Horticulture Against Value Of Agricultural Output (UOM:Ratio), Scaling Factor:1","Unirrigated Area (%) (UOM:%(Percentage)), Scaling Factor:1","Quantity Ground Water Extracted Per 1000 Hectare (UOM:Number), Scaling Factor:1","Rural Households Having Kisan Credit Card (%) (UOM:%(Percentage)), Scaling Factor:1","Self Help Groups Per 1000 Population (UOM:Number), Scaling Factor:1","Doctors Per 1000 Population (UOM:Number), Scaling Factor:1","Population Below Poverty Line (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of Income Generated From Tertiary Sector (UOM:Ratio), Scaling Factor:1","Forest Area Per 1,000 Rural Population (UOM:Number), Scaling Factor:1","Share Of Horticulture In Agriculture (UOM:Ratio), Scaling Factor:1","Proportion Of Net Irrigated Area (UOM:Ratio), Scaling Factor:1","Availability Of Ground Water (UOM:L(Litre)), Scaling Factor:1","Population In Multi- Hazard Areas (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Banks Per 1000 Rural Population (UOM:Number), Scaling Factor:1","Vector Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Water Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Agricultural Labourers (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Agricultural Output To Value Of Horticulture Output (UOM:Ratio), Scaling Factor:1","Net Irrigated Area To Net Sown Area (UOM:Ratio), Scaling Factor:1","Length Of Roads Per 100 Sqkm (UOM:Ratio), Scaling Factor:1","Households Availing Banking Services (%) (UOM:%(Percentage)), Scaling Factor:1","Share Of Area Insured Under National Institute Of Advanced Studies (UOM:Ratio), Scaling Factor:1","Net Sown Area Under Horticulture (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Improved Sanitation Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Female Literacy Rate (%) (UOM:%(Percentage)), Scaling Factor:1","Net Area Under Agriculture To Total Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Net Un- Irrigated Area To Net Sown Area (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Monthly Income Of Highest Earning Household Members In A Rural Area Less Than Rs 5,000/- (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Households With No Land Ownership (%) (UOM:%(Percentage)), Scaling Factor:1","Net Irrigated By Net Sown (%) (UOM:%(Percentage)), Scaling Factor:1","Drainage Density (UOM:Ratio), Scaling Factor:1","Natural Resource Management Works Per 1,000 Hectares (UOM:Number), Scaling Factor:1","Anganwadi Centres Per 1000 Hectares (UOM:Number), Scaling Factor:1","Percentage Of Agricultural Area Under Slopes Greater Than 45 Degree (UOM:%(Percentage)), Scaling Factor:1","Total Crop Produced In Both Agricultural And Horticultural Crops (%) (UOM:%(Percentage)), Scaling Factor:1","Main And Local Markets Per Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Water Scarcity (UOM:Number), Scaling Factor:1","Soil Fertility (UOM:Ratio), Scaling Factor:1","Crop Diversification Index (UOM:Ratio), Scaling Factor:1","Road Connectivity (%) (UOM:%(Percentage)), Scaling Factor:1","Access To Market (UOM:Ratio), Scaling Factor:1","Income Diversification Within Agriculture Sector (UOM:INR(IndianRupees)), Scaling Factor:1","Water Availability (UOM:L(Litre)), Scaling Factor:1","Area Under Water Bodies (%) (UOM:%(Percentage)), Scaling Factor:1","Fair Price Shops Per 1000 Population (UOM:Number), Scaling Factor:1","Total Female Workforce (UOM:Number), Scaling Factor:1","Stage Of Groundwater Development (%) (UOM:%(Percentage)), Scaling Factor:1","Cropping Intensity (UOM:Ratio), Scaling Factor:1","Proportion Of Area Under Commercial Crops To Set Sown Area (UOM:Ratio), Scaling Factor:1","Variability Of Crop, Livestock, And Fish Yield (UOM:Ratio), Scaling Factor:1","Available Water Resources Under Fish Culture (%) (UOM:%(Percentage)), Scaling Factor:1","Degree Of Forest Dependence By Rural Tribal Communities (UOM:Ratio), Scaling Factor:1","Approved Minor Forest Produce (Mfp) Microenterprises (UOM:Number), Scaling Factor:1","Dependency Ratio Of Rural Households Below The Poverty Line (UOM:Ratio), Scaling Factor:1","Establishments By Oae, Estt, Micro, Small And Medium (UOM:Number), Scaling Factor:1","Functional Health Care Facilities Per 10,000 Population (UOM:PerTenThousand(10000)), Scaling Factor:1","Households With Any Usual Member Covered By A Health Scheme Or Health Insurance (UOM:Number), Scaling Factor:1"
India,Jharkhand,Pakur,"Calendar Year (Jan - Dec), 2021",0.643,0.92,0.65,0.88,0.03,,44,,0.15,,,89.3,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,91.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Palamu,"Calendar Year (Jan - Dec), 2021",0.645,0.93,0.77,0.66,0.07,,38.94,,0.11,,,90.5,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,76.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Ramgarh,"Calendar Year (Jan - Dec), 2021",0.539,0.68,2.07,0.61,0.06,,52.1,,0.07,,,67.8,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Ranchi,"Calendar Year (Jan - Dec), 2021",0.599,0.79,0.91,0.86,0.07,,43.41,,0.13,,,75,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Sahebganj,"Calendar Year (Jan - Dec), 2021",0.696,0.86,0.32,0.93,0.06,,40.3,,0.13,,,77.6,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,85.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Saraikela Kharsawan,"Calendar Year (Jan - Dec), 2021",0.638,0.85,0.44,0.9,0.07,,48.85,,0.2,,,80.7,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,65.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Simdega,"Calendar Year (Jan - Dec), 2021",0.64,0.68,0.17,0.97,0.22,,47.26,,0.28,,,59.6,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,,,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,West Singhbhum,"Calendar Year (Jan - Dec), 2021",0.602,0.71,0.22,0.98,0.26,,37.22,,0.25,,,68.9,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Bagalkote,"Calendar Year (Jan - Dec), 2021",0.563,0.81,,,,0.33,47.76,0.02,194,,98.1,88.3,0.49,121404,0.22,0.13,112.16,0.91,94.52,9.48,2.89,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Ballari,"Calendar Year (Jan - Dec), 2021",0.532,0.85,,,,0.23,53.47,0.09,146,,88.4,94.4,0.43,116807,0.14,0.3,118.9,0.96,53.7,2.51,3.2,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Belagavi,"Calendar Year (Jan - Dec), 2021",0.55,0.63,,,,0.33,43.35,0.01,157,,91.8,98.6,0.13,82287,0.12,0.24,91.72,0.96,76.11,1.8,1.6,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Bengaluru Rural,"Calendar Year (Jan - Dec), 2021",0.575,0.93,,,,0.21,49.87,0.27,214,,72.3,77.5,0.45,139598,0.2,0.16,93.71,0.82,123.27,1.76,5.87,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Bengaluru Urban,"Calendar Year (Jan - Dec), 2021",0.589,0.8,,,,0.34,47.34,0.08,116,,81.8,92,0.52,320346,0.17,0.03,9.74,0.64,143.81,1.73,0.5,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Bidar,"Calendar Year (Jan - Dec), 2021",0.612,0.89,,,,0.23,43.03,0.05,69,,67.5,96,0.43,73892,0.27,0.05,53.43,0.89,42.35,4.58,4.21,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Chamarajanagara,"Calendar Year (Jan - Dec), 2021",0.503,0.87,,,,0.24,44.63,0.03,135,,77,95,0.61,99988,0.53,2.67,102.76,0.99,82.67,1.3,7.62,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Chikkaballapura,"Calendar Year (Jan - Dec), 2021",0.577,0.87,,,,0.41,47.53,0.11,93,,66.45,76.9,0.47,99600,0.16,0.22,14.35,0.93,164.11,1.01,4.97,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Chikkamagaluru,"Calendar Year (Jan - Dec), 2021",0.512,0.87,,,,0.22,48.86,0.11,249,,66.45,81.9,0.47,175179,0.16,3.47,73.57,0.93,50.5,1.7,6.67,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Chitradurga,"Calendar Year (Jan - Dec), 2021",0.51,0.83,,,,0.22,57.84,0.07,115,,75.4,90.5,0.41,88185,0.17,0.35,94.89,0.97,115.03,2.33,4.79,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Dakshina Kannada,"Calendar Year (Jan - Dec), 2021",0.488,0.99,,,,0.34,47.31,0.03,351,,75.4,85.7,0.47,240448,0.2,1.47,84.29,0.98,62.6,3.16,2.29,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Davangere,"Calendar Year (Jan - Dec), 2021",0.561,0.88,,,,0.34,58.63,0.09,292,,79.2,94.3,0.52,89946,0.2,0.37,146.89,0.82,92.96,2.85,3.8,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Dharwad,"Calendar Year (Jan - Dec), 2021",0.594,0.82,,,,0.26,40.14,0.07,76,,71.3,95.4,0.64,114827,0.38,0.2,75.26,1,61.34,1.74,3.26,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Gadag,"Calendar Year (Jan - Dec), 2021",0.616,0.89,,,,0.2,44.78,0.11,158,,86.8,85.5,0.56,88942,0.14,0.13,92.11,0.96,90.4,2.55,5.49,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Hassan,"Calendar Year (Jan - Dec), 2021",0.587,0.85,,,,0.36,53.33,0.12,112,,71.25,91.1,0.46,115946,0.32,0.31,154.51,0.96,63.38,1.33,10.68,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Haveri,"Calendar Year (Jan - Dec), 2021",0.6,0.33,,,,0.32,48.11,0.08,87,,88.8,95.1,0.45,84629,0.2,0.22,108.95,0.94,56.83,1.64,3.29,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Kalaburagi,"Calendar Year (Jan - Dec), 2021",0.586,0.85,,,,0.36,40.66,0.12,163,,71.25,94.9,0.46,65493,0.32,0.08,52.24,0.96,40.54,3.29,2.97,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Kodagu,"Calendar Year (Jan - Dec), 2021",0.513,0.87,,,,0.23,46.43,0.82,58,,95,81.6,0.44,96939,0.06,5.89,8.2,0.85,33.54,3.1,4.87,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Kolar,"Calendar Year (Jan - Dec), 2021",0.608,0.84,,,,0.36,55.26,0.01,185,,88.35,67.3,0.35,98953,0.29,0.25,7.82,0.85,211.29,1.49,3.47,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Koppal,"Calendar Year (Jan - Dec), 2021",0.602,0.84,,,,0.36,53.2,0.01,44,,88.35,92.6,0.35,74134,0.29,0.02,89.95,0.85,56.6,1.89,4.77,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Mandya,"Calendar Year (Jan - Dec), 2021",0.517,0.79,,,,0.2,41.82,0.09,97,,71.3,95.5,0.44,129304,0.15,0.16,122.57,0.96,59.28,0.84,8.24,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Mysuru,"Calendar Year (Jan - Dec), 2021",0.545,0.91,,,,0.31,44.44,0.02,407,,74.1,95.6,0.57,100939,0.26,0.35,111.88,0.82,51.28,2.26,3.93,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Raichur,"Calendar Year (Jan - Dec), 2021",0.579,0.85,,,,0.34,68.49,0.08,131,,77.6,83.5,0.7,78057,0.39,0.55,12.45,0.89,43.91,3.51,1.45,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Ramanagara,"Calendar Year (Jan - Dec), 2021",0.499,0.88,,,,0.27,65.41,0.06,56,,77.7,93.1,0.57,126441,0.21,0.61,106.73,0.98,96.56,1.14,5.8,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Karnataka,Vijayapura,"Calendar Year (Jan - Dec), 2021",0.886,0.88,,,,0.34,53.05,0.12,46,36,72,88.2,0.58,74741,0.32,0.01,59.37,0.79,80.31,10.88,3.52,1.45,90.66,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,21.36,86.79,2.46,0,78.79,253.5,2.52,86
India,Kerala,Alappuzha,"Calendar Year (Jan - Dec), 2021",0.548,99.43,8.22,,,33.28,61.85,10.35,,,,,7.81,,,,,,,,,5.64,24.45,61.18,0.04,0.12,42.83,404.57,79.46,0.14,0.18,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Ernakulam,"Calendar Year (Jan - Dec), 2021",0.542,99.2,0.3,,,26.9,52.87,7.63,,,,,5.97,,,,,,,,,12.15,12.48,67.37,0.42,0.09,16.15,499.53,65.67,0.2,0.15,13.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Idukki,"Calendar Year (Jan - Dec), 2021",0.495,97.31,0.59,,,35.76,51.84,5.42,,,,,6.15,,,,,,,,,5.91,21.7,53.25,2.84,0.12,21.78,186.14,59.85,0.17,0.11,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Kannur,"Calendar Year (Jan - Dec), 2021",0.556,99.07,0.02,,,26.06,42.28,6.78,,,,,4.45,,,,,,,,,5.61,16.19,58.35,0.66,0.24,7.64,412.55,55.54,0.13,0.11,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Kasaragod,"Calendar Year (Jan - Dec), 2021",0.535,98.15,0.23,,,29.78,52.51,7.46,,,,,3.33,,,,,,,,,4.33,17.51,54.91,0.74,0.11,39.13,285.75,23.91,0.16,0.24,26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Kollam,"Calendar Year (Jan - Dec), 2021",0.566,99.82,0.06,,,29.35,46.63,10.87,,,,,7.18,,,,,,,,,5.35,22.81,63.45,0.5,0.14,4.19,332.94,47.32,0.13,0.29,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Kottayam,"Calendar Year (Jan - Dec), 2021",0.544,98.13,0.54,,,27.92,51.69,9.68,,,,,6.26,,,,,,,,,8.69,19.67,65.75,0.56,0.05,10.07,374.54,49.78,0.19,0.11,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Kozhikode,"Calendar Year (Jan - Dec), 2021",0.605,99.55,0.01,,,20.72,48.1,11.77,,,,,8.69,,,,,,,,,8.11,18.77,60.37,0.47,0.15,3.35,306.12,50.42,0.13,0.17,22.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Malappuram,"Calendar Year (Jan - Dec), 2021",0.597,99.35,0.07,,,15.46,48.78,6.85,,,,,12.75,,,,,,,,,5.3,17.94,65.02,0.48,0.12,15.05,470.53,57.38,0.09,0.11,20.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Palakkad,"Calendar Year (Jan - Dec), 2021",0.539,98.1,7.86,,,28.42,43.98,5.32,,,,,8.3,,,,,,,,,4.65,15.46,60.49,0.74,0.1,35.93,591.44,61.09,0.12,0.05,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Pathanamthitta,"Calendar Year (Jan - Dec), 2021",0.548,99.28,0.09,,,28.24,57.57,6.81,,,,,14.4,,,,,,,,,9.17,17.55,55.2,1.63,0.08,6.67,255.83,32.97,0.25,0.22,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Thiruvananthapuram,"Calendar Year (Jan - Dec), 2021",0.573,99.83,0.04,,,29.84,54.98,13.87,,,,,6.74,,,,,,,,,8.92,19.31,65.87,0.39,0.12,5.85,269.7,25.23,0.19,0.5,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Thrissur,"Calendar Year (Jan - Dec), 2021",0.518,99.56,1.97,,,27.95,54.52,6.48,,,,,8.58,,,,,,,,,8,22.68,66.89,0.37,0.13,48.62,590.48,48.3,0.14,0.07,16.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,Wayanad,"Calendar Year (Jan - Dec), 2021",,96.53,0.24,,,32.77,55.15,4.36,,,,,3.94,,,,,,,,,6.07,16.9,59.54,1.93,0.09,11.21,231.63,71.37,0.22,0.31,27.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Ladakh,Kargil,"Calendar Year (Jan - Dec), 2021",0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Ladakh,Leh Ladakh,"Calendar Year (Jan - Dec), 2021",0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Alirajpur,"Calendar Year (Jan - Dec), 2021",0.543,0.67,,,,49,45.72,,,66,,,0.54,,1125,,,,,,,0.02,42.8,,1.02,,,20.2,,,0.1,877,20.09,0.000286,20.87,2.29,36.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Anuppur,"Calendar Year (Jan - Dec), 2021",0.62,0.7,,,,40,47.42,,,73,,,0.53,,610,,,,,,,0.03,50.2,,1.6,,,93.4,,,0.38,496,37.63,0.000277,2.9,6.34,69.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Ashoknagar,"Calendar Year (Jan - Dec), 2021",0.592,0.62,,,,26,51.11,,,77,,,0.52,,509,,,,,,,0.05,14.4,,1,,,37.4,,,0.22,964,38.82,0.000106,61.26,3.01,30.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Balaghat,"Calendar Year (Jan - Dec), 2021",0.544,0.86,,,,45,40.5,,,62,,,0.8,,581,,,,,,,0.04,64,,3.39,,,15.7,,,0.08,336,51.49,0.000126,57.39,10.24,38.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Barwani,"Calendar Year (Jan - Dec), 2021",,0.62,,,,44,40.93,,,67,,,0.75,,640,,,,,,,0.05,38,,0.79,,,6.4,,,0.03,511,40.86,0.000373,55.9,3.24,38.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Betul,"Calendar Year (Jan - Dec), 2021",0.494,0.61,,,,42,40.33,,,64,,,0.65,,549,,,,,,,0.03,77.2,,2.89,,,15.6,,,0.05,1074,45.51,0.000229,44.47,3.01,62,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Bhind,"Calendar Year (Jan - Dec), 2021",0.618,0.74,,,,12,57.43,,,53,,,0.35,,387,,,,,,,0.03,40.8,,0.08,,,13.5,,,0.16,486,30.39,0.000085,62.9,8.26,34.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Bhopal,"Calendar Year (Jan - Dec), 2021",0.531,0.63,,,,26,52.5,,,49,,,0.42,,107,,,,,,,0.21,8.5,,0.73,,,16.5,,,0.74,555,12.13,0.000256,69.07,54.61,61.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Burhanpur,"Calendar Year (Jan - Dec), 2021",0.503,0.66,,,,35,42.77,,,68,,,0.85,,399,,,,,,,0.06,28.1,,2.6,,,16.5,,,0.02,393,47.6,0.00375,59.85,7.11,42.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Chhatarpur,"Calendar Year (Jan - Dec), 2021",0.634,0.72,,,,36,54.93,,,68,,,0.75,,582,,,,,,,0.05,10.5,,1.29,,,21.2,,,0.04,1155,31.71,0.000409,45.92,3.93,42.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Chhindwara,"Calendar Year (Jan - Dec), 2021",0.486,0.7,,,,39,45.91,,,70,,,0.61,,524,,,,,,,0.05,62.6,,2.9,,,12.2,,,0.24,395,44.12,0.000471,44.16,6.86,55.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Damoh,"Calendar Year (Jan - Dec), 2021",0.605,0.75,,,,36,50.43,,,77,,,0.71,,538,,,,,,,0.02,22.2,,2.55,,,34.5,,,0.07,1536,43.54,0.000199,43.72,2.23,30.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Datia,"Calendar Year (Jan - Dec), 2021",0.48,0.75,,,,30,53.19,,,73,,,0.49,,653,,,,,,,0.03,29.6,,0.33,,,31.3,,,0.37,613,29.19,0.000159,93.64,12.65,41.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Dewas,"Calendar Year (Jan - Dec), 2021",0.482,0.61,,,,39,53.66,,,57,,,0.5,,496,,,,,,,0.05,3.8,,1.76,,,15.9,,,0.03,114,41.82,0.000302,76.98,7.02,47.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Dhar,"Calendar Year (Jan - Dec), 2021",0.51,0.65,,,,42,47.27,,,54,,,0.56,,657,,,,,,,0.04,5.6,,0.37,,,7,,,0.12,182,42.55,0.000217,80.27,4.32,42.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Dindori,"Calendar Year (Jan - Dec), 2021",0.585,0.68,,,,48,47.46,,,70,,,0.59,,736,,,,,,,0.04,74.5,,4.51,,,66.5,,,0.1,699,48.97,0.000011,1.72,0.61,69.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Guna,"Calendar Year (Jan - Dec), 2021",0.572,0.61,,,,35,49.96,,,77,,,0.71,,580,,,,,,,0.06,14.7,,1.43,,,25.7,,,0.21,964,34.11,0.000088,41.16,5.37,34,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Gwalior,"Calendar Year (Jan - Dec), 2021",0.529,0.73,,,,20,59.2,,,49,,,0.5,,255,,,,,,,0.03,25,,1.61,,,11.1,,,0.23,647,17.56,0.000157,87.08,22.67,55.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Harda,"Calendar Year (Jan - Dec), 2021",0.464,0.45,,,,32,47.03,,,65,,,0.57,,492,,,,,,,0.05,34.5,,2.12,,,72.4,,,0.03,474,43.84,0.000079,97.22,2.27,45.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Indore,"Calendar Year (Jan - Dec), 2021",0.453,0.69,,,,26,55.25,,,39,,,0.84,,150,,,,,,,0.14,11.2,,0.8,,,7.2,,,0.1,361,14.63,0.001027,77.13,48.89,61.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Jabalpur,"Calendar Year (Jan - Dec), 2021",0.645,0.78,,,,30,40.13,,,51,,,1.12,,188,,,,,,,0.17,38.7,,1.09,,,21.8,,,0.17,951,28.2,0.000478,21.36,11.62,57.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Madhya Pradesh,Jhabua,"Calendar Year (Jan - Dec), 2021",0.618,0.79,,,,48,44.34,,,66,,,0.8,,848,,,,,,,0.03,23.1,,0.24,,,22.6,,,0.3,877,22.45,0.000426,63.93,2.48,42.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
